"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Employers can play a big part in helping people be physically active. At AHM, we organise and take part in social a… https://t.co/DaItuXbZUM",FALSE,0,NA,2020-05-20 03:01:11,TRUE,NA,"1262941412426997761",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","allhealthmatt",0,FALSE,FALSE,NA,NA
"2","RT @WarshipCam: USCGC Active (WMEC 618) medium endurance cutter coming into San Diego - May 19, 2020 #active #wmec618 https://t.co/1pvD37r9…",FALSE,0,NA,2020-05-20 02:50:51,FALSE,NA,"1262938813086588928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SanDiegoWebCam",2,TRUE,FALSE,NA,NA
"3","RT @WarshipCam: USCGC Active (WMEC 618) medium endurance cutter coming into San Diego - May 19, 2020 #active #wmec618 https://t.co/1pvD37r9…",FALSE,0,NA,2020-05-20 02:27:25,FALSE,NA,"1262932915064799234",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TinkerTricity",2,TRUE,FALSE,NA,NA
"4","USCGC Active (WMEC 618) medium endurance cutter coming into San Diego - May 19, 2020 #active #wmec618 https://t.co/1pvD37r9FG",FALSE,3,NA,2020-05-20 02:27:02,FALSE,NA,"1262932819246022656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WarshipCam",2,FALSE,FALSE,NA,NA
"5","Night Cap! <f0><U+009F><U+008F><U+0083><f0><U+009F><U+008F><U+00BE><U+200D><U+2642><U+FE0F><f0><U+009F><U+0092><U+00A8><f0><U+009F><U+0094><U+00A5><U+2705><f0><U+009F><U+0092><U+00AF> staying #active and applying #discipline is <f0><U+009F><U+0094><U+0091>  #nikerunning #igtv #powerful #instagood… https://t.co/FczSL8uvYq",FALSE,0,NA,2020-05-20 02:22:39,TRUE,NA,"1262931712327266304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fitbyshockbody",0,FALSE,FALSE,NA,NA
"6","Active COVID-19 cases rise to 39
https://t.co/50tTfhgFWe
#Active #COVID19cases #rise #39 https://t.co/nkTvVBoR0Q",FALSE,0,NA,2020-05-20 02:19:25,FALSE,NA,"1262930900234440704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GoacomBytes",0,FALSE,FALSE,NA,NA
"7","NU Essential Crop and Leggings!!
They are always better together.
-
#essentials #active https://t.co/59gag8se7x",FALSE,0,NA,2020-05-20 02:16:04,FALSE,NA,"1262930058697637890",NA,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>","NU_FIZEEK",0,FALSE,FALSE,NA,NA
"8","Going thru some of the pictures from the past has Lockedin Magazine Ready for the #CoronaVirus restrictions to be L… https://t.co/C7tLeUmCu6",FALSE,0,NA,2020-05-20 02:15:05,TRUE,NA,"1262929808620740608",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LockedINMag",0,FALSE,FALSE,NA,NA
"9","Believe in your vision and stay #Active",FALSE,0,NA,2020-05-20 02:11:24,FALSE,NA,"1262928884741406720",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ray2Active",0,FALSE,FALSE,NA,NA
"10","RT @shalomjoshi: #Active Test....!!!""""""""<f0><U+009F><U+0092><U+00A5> <f0><U+009F><U+0092><U+00A5><f0><U+009F><U+0092><U+00A5>

How Many Are you In Online??? 

Just RT
#HappyBirthdayNTR
 https://t.co/6Jnc39GSZk",FALSE,0,NA,2020-05-20 02:07:34,FALSE,NA,"1262927918474371073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoshithBolline2",6,TRUE,FALSE,NA,NA
